event_ts,store_id,product_id,delta,reason
2025-01-01 08:00:00,1,P00309,0,STOCKOUT
2025-01-01 08:00:00,1,P01334,0,STOCKOUT
2025-01-01 08:00:00,1,P00149,0,STOCKOUT
2025-01-01 08:00:00,1,P00749,0,STOCKOUT
2025-01-01 08:00:00,1,P00119,0,STOCKOUT
2025-01-01 08:00:00,1,P00077,0,STOCKOUT
2025-01-01 08:00:00,1,P00889,0,STOCKOUT
2025-01-01 08:00:00,1,P00144,0,STOCKOUT
2025-01-01 08:00:00,1,P00186,0,STOCKOUT
2025-01-01 08:00:00,1,P00122,0,STOCKOUT
2025-01-01 08:00:00,1,P00458,0,STOCKOUT
2025-01-01 08:00:00,1,P01285,0,STOCKOUT
2025-01-01 08:00:00,1,P00127,0,STOCKOUT
2025-01-01 08:00:00,1,P00813,0,STOCKOUT
2025-01-01 08:00:00,1,P00453,0,STOCKOUT
2025-01-01 08:00:00,1,P01141,0,STOCKOUT
2025-01-01 08:00:00,1,P00594,0,STOCKOUT
2025-01-01 08:00:00,1,P01108,0,STOCKOUT
2025-01-01 08:00:00,1,P01170,0,STOCKOUT
2025-01-01 08:00:00,1,P01397,0,STOCKOUT
2025-01-01 08:00:00,1,P00212,0,STOCKOUT
2025-01-01 08:00:00,1,P01309,0,STOCKOUT
2025-01-01 08:00:00,1,P00763,0,STOCKOUT
2025-01-01 08:00:00,1,P01122,0,STOCKOUT
2025-01-01 08:00:00,1,P00129,0,STOCKOUT
2025-01-01 08:00:00,1,P00123,0,STOCKOUT
2025-01-01 08:00:00,1,P01017,0,STOCKOUT
2025-01-01 08:00:00,1,P01089,0,STOCKOUT
2025-01-01 08:00:00,1,P00644,0,STOCKOUT
2025-01-01 08:00:00,1,P00929,0,STOCKOUT
2025-01-01 08:00:00,1,P00614,0,STOCKOUT
2025-01-01 08:00:00,1,P00369,0,STOCKOUT
2025-01-01 08:00:00,1,P00500,0,STOCKOUT
2025-01-01 08:00:00,1,P00615,0,STOCKOUT
2025-01-01 08:00:00,1,P01014,0,STOCKOUT
2025-01-01 08:00:00,1,P00590,0,STOCKOUT
2025-01-01 08:00:00,1,P00150,0,STOCKOUT
2025-01-01 08:00:00,1,P00857,0,STOCKOUT
2025-01-01 08:00:00,1,P00701,0,STOCKOUT
2025-01-01 08:00:00,1,P01002,0,STOCKOUT
2025-01-01 08:00:00,1,P00081,0,STOCKOUT
2025-01-01 08:00:00,1,P01143,0,STOCKOUT
2025-01-01 08:00:00,1,P00643,0,STOCKOUT
2025-01-01 08:00:00,1,P01218,0,STOCKOUT
2025-01-01 08:00:00,1,P01188,0,STOCKOUT
2025-01-01 08:00:00,1,P00141,0,STOCKOUT
2025-01-01 08:00:00,1,P00971,0,STOCKOUT
2025-01-01 08:00:00,1,P00125,0,STOCKOUT
2025-01-01 08:00:00,1,P01437,0,STOCKOUT
2025-01-01 08:00:00,1,P01396,0,STOCKOUT
2025-01-01 08:00:00,1,P00583,0,STOCKOUT
2025-01-01 08:00:00,1,P01370,0,STOCKOUT
2025-01-01 08:00:00,1,P00047,0,STOCKOUT
2025-01-01 08:00:00,1,P00728,0,STOCKOUT
2025-01-01 08:00:00,1,P01252,0,STOCKOUT
2025-01-01 08:00:00,1,P01012,0,STOCKOUT
2025-01-01 08:00:00,1,P00589,0,STOCKOUT
2025-01-01 08:00:00,1,P00815,0,STOCKOUT
2025-01-01 08:00:00,1,P00166,0,STOCKOUT
2025-01-01 08:00:00,1,P00823,0,STOCKOUT
2025-01-01 08:00:00,1,P00570,0,STOCKOUT
2025-01-01 08:00:00,1,P00882,0,STOCKOUT
2025-01-01 08:00:00,1,P01447,0,STOCKOUT
2025-01-01 08:00:00,1,P00735,0,STOCKOUT
2025-01-01 08:00:00,1,P00473,0,STOCKOUT
2025-01-01 08:00:00,1,P00170,0,STOCKOUT
2025-01-01 08:00:00,1,P00310,0,STOCKOUT
2025-01-01 08:00:00,1,P00025,0,STOCKOUT
2025-01-01 08:00:00,1,P01207,0,STOCKOUT
2025-01-01 08:00:00,1,P00539,0,STOCKOUT
2025-01-01 08:00:00,1,P00299,0,STOCKOUT
2025-01-01 08:00:00,1,P01095,0,STOCKOUT
2025-01-01 08:00:00,1,P01249,0,STOCKOUT
2025-01-01 08:00:00,1,P00653,0,STOCKOUT
2025-01-01 08:00:00,1,P01265,0,STOCKOUT
2025-01-01 08:00:00,1,P01385,0,STOCKOUT
2025-01-01 08:00:00,1,P00111,0,STOCKOUT
2025-01-01 08:00:00,1,P00804,0,STOCKOUT
2025-01-01 08:00:00,1,P00818,0,STOCKOUT
2025-01-01 08:00:00,1,P00213,0,STOCKOUT
2025-01-01 08:00:00,1,P01300,0,STOCKOUT
2025-01-01 08:00:00,1,P00391,0,STOCKOUT
2025-01-01 08:00:00,1,P00903,0,STOCKOUT
2025-01-01 08:00:00,1,P00697,0,STOCKOUT
2025-01-01 08:00:00,1,P00108,0,STOCKOUT
2025-01-01 08:00:00,1,P01161,0,STOCKOUT
2025-01-01 08:00:00,1,P00208,0,STOCKOUT
2025-01-01 08:00:00,1,P01257,0,STOCKOUT
2025-01-01 08:00:00,1,P00145,0,STOCKOUT
2025-01-01 08:00:00,1,P00305,0,STOCKOUT
2025-01-01 08:00:00,1,P00517,0,STOCKOUT
2025-01-01 08:00:00,1,P01234,0,STOCKOUT
2025-01-01 08:00:00,1,P00252,0,STOCKOUT
2025-01-01 08:00:00,1,P01000,0,STOCKOUT
2025-01-01 08:00:00,1,P00984,0,STOCKOUT
2025-01-01 08:00:00,1,P00176,0,STOCKOUT
2025-01-01 08:00:00,1,P00210,0,STOCKOUT
2025-01-01 08:00:00,1,P00702,0,STOCKOUT
2025-01-01 08:00:00,1,P00543,0,STOCKOUT
2025-01-01 08:00:00,1,P01418,0,STOCKOUT
2025-01-01 08:00:00,1,P00048,0,STOCKOUT
2025-01-01 08:00:00,1,P01082,0,STOCKOUT
2025-01-01 08:00:00,1,P00301,0,STOCKOUT
