store_id,category,week_start,week_of_year,is_year_start,is_year_end,promo_type,units,revenue,unique_baskets,units_1w_pre,units_4w_pre,trend_4w_units,revenue_1w_pre,revenue_4w_pre,avg_price_pre_4w,promo_freq_8w,realized_promo_freq_8w,treated_planned,treated_realized
1,Alcohol,2024-12-29,52,0,1,MANAGER_SPECIAL,90,1071.14,51,,,,,,,,,1,1
1,Alcohol,2025-01-05,1,1,0,BUNDLE,190,2292.06,114,90.0,90.0,,1071.14,1071.14,11.901555555555557,1.0,1.0,1,0
1,Alcohol,2025-01-12,2,1,0,COUPON,135,1648.94,76,190.0,140.0,,2292.06,1681.6,11.982514619883041,2.0,1.0,1,0
1,Alcohol,2025-01-19,3,0,0,COUPON,134,1582.21,81,135.0,138.33333333333334,,1648.94,1670.7133333333334,12.059799870045486,3.0,1.0,1,0
1,Alcohol,2025-01-26,4,0,0,BOGO,146,1682.84,82,134.0,137.25,7.7,1582.21,1648.5875,11.996734230892322,4.0,1.0,1,0
1,Alcohol,2025-02-02,5,0,0,MANAGER_SPECIAL,169,2091.49,86,146.0,151.25,-13.300000000000011,1682.84,1801.5125,11.902920684469187,5.0,1.0,1,0
1,Alcohol,2025-02-09,6,0,0,COUPON,185,2281.98,99,169.0,146.0,11.400000000000007,2091.49,1751.3700000000001,11.98097238175975,6.0,1.0,1,0
1,Alcohol,2025-02-16,7,0,0,MANAGER_SPECIAL,141,1796.9,77,185.0,158.5,17.599999999999998,2281.98,1909.63,12.011136545923915,7.0,1.0,1,0
1,Alcohol,2025-02-23,8,0,0,COUPON,181,2151.79,95,141.0,160.25,0.09999999999999612,1796.9,1963.3025,12.245245125367125,8.0,1.0,1,0
1,Alcohol,2025-03-02,9,0,0,COUPON,179,2182.08,97,181.0,169.0,-0.7999999999999915,2151.79,2080.54,12.335755418260486,8.0,0.0,1,0
1,Alcohol,2025-03-09,10,0,0,MANAGER_SPECIAL,140,1704.9,84,179.0,171.5,2.199999999999989,2182.08,2103.1875,12.28943306528042,8.0,0.0,1,0
1,Alcohol,2025-03-16,11,0,0,MANAGER_SPECIAL,159,1964.93,87,140.0,160.25,-0.499999999999989,1704.9,1958.9175000000005,12.250140594237948,8.0,0.0,1,0
1,Alcohol,2025-03-23,12,0,0,MANAGER_SPECIAL,116,1422.57,75,159.0,164.75,-10.500000000000016,1964.93,2000.9250000000002,12.153660265052881,8.0,0.0,1,0
1,Alcohol,2025-03-30,13,0,0,COUPON,160,2036.6,94,116.0,148.5,-17.000000000000007,1422.57,1818.6200000000003,12.247458250383422,8.0,0.0,1,0
1,Alcohol,2025-04-06,14,0,0,MANAGER_SPECIAL,125,1487.71,75,160.0,143.75,1.6999999999999986,2036.6,1782.2500000000002,12.382047985020293,8.0,0.0,1,0
1,Alcohol,2025-04-13,15,0,0,BUNDLE,166,2031.91,89,125.0,140.0,-5.800000000000007,1487.71,1727.9525,12.313003699306007,8.0,0.0,1,0
1,Alcohol,2025-04-20,16,0,0,BUNDLE,153,1863.15,83,166.0,141.75,11.50000000000002,2031.91,1744.6975000000002,12.2835965423764,8.0,0.0,1,1
1,Alcohol,2025-04-27,17,0,0,MANAGER_SPECIAL,182,2218.32,105,153.0,151.0,2.0000000000000093,1863.15,1854.8425000000004,12.262075666784787,8.0,1.0,1,0
1,Alcohol,2025-05-04,18,0,0,BUNDLE,188,2229.28,97,182.0,156.5,15.80000000000002,2218.32,1900.2725000000003,12.127031023927644,8.0,1.0,1,0
1,Alcohol,2025-05-11,19,0,0,COUPON,188,2363.28,100,188.0,172.25,9.500000000000005,2229.28,2085.6650000000004,12.116079109034025,8.0,1.0,1,1
1,Alcohol,2025-05-18,20,0,0,BUNDLE,154,1871.1200000000001,81,188.0,177.75,11.100000000000007,2363.28,2168.5075000000006,12.198633261815365,8.0,2.0,1,0
