store_id,category,week_start,revenue,units,unique_baskets,realized_discount,eff_discount_rate,treated_planned,treated_realized,promo_type,discount_depth_plan,baseline_revenue_4w_nonpromo,lift_pct_revenue,promo_success,units_1w_pre,units_4w_pre,trend_4w_units,revenue_1w_pre,revenue_4w_pre,avg_price_pre_4w,promo_freq_8w,realized_promo_freq_8w,week_of_year,is_year_start,is_year_end
S0001,Alcohol,2025-06-30,8960.82,735,495,0.0,0.0,0,0,NONE,,,,0,,,,,,,,,27,0,0
S0001,Alcohol,2025-07-07,10059.03,831,573,0.0,0.0,0,0,NONE,,8960.82,0.12255686421555181,0,735.0,735.0,,8960.82,8960.82,12.191591836734693,0.0,0.0,28,0,0
S0001,Alcohol,2025-07-14,10833.3,871,591,0.0,0.0,0,0,NONE,,9509.925,0.1391572488742025,0,831.0,783.0,,10059.03,9509.925,12.148160539305975,0.0,0.0,29,0,0
S0001,Alcohol,2025-07-21,9031.26,751,489,0.0,0.0,0,0,NONE,,9951.05,-0.09243145195733105,0,871.0,812.3333333333334,,10833.3,9951.050000000001,12.244697917899352,0.0,0.0,30,0,0
S0001,Alcohol,2025-07-28,9473.87,773,522,0.0,0.0,0,0,NONE,,9721.102499999999,-0.025432557675428097,0,751.0,797.0,8.800000000000006,9031.26,9721.1025,12.18993488982265,0.0,0.0,31,0,0
S0001,Alcohol,2025-08-04,9311.66,755,513,0.0,0.0,0,0,NONE,,9849.365000000002,-0.054592859539676075,0,773.0,806.5,-29.399999999999988,9473.87,9849.365,12.206031109164202,0.0,0.0,32,0,0
S0001,Alcohol,2025-08-11,9597.74,781,541,0.0,0.0,0,0,NONE,,9662.5225,-0.006704512201653279,0,755.0,787.5,-32.599999999999994,9311.66,9662.522500000001,12.263179924522703,0.0,0.0,33,0,0
S0001,Alcohol,2025-08-18,9643.7,797,552,0.0,0.0,0,0,NONE,,9353.6325,0.031011214092493054,0,781.0,765.0,7.200000000000069,9597.74,9353.6325,12.225996678926593,0.0,0.0,34,0,0
S0001,Bakery,2025-06-30,443.37,118,100,0.0,0.0,0,0,NONE,,,,0,,769.6666666666666,,,9461.09,12.292780303371275,0.0,0.0,27,0,0
S0001,Bakery,2025-07-07,499.75,133,111,0.0,0.0,0,0,NONE,,443.37,0.12716241513859755,0,118.0,551.3333333333334,,443.37,6450.923333333333,9.459912359122953,0.0,0.0,28,0,0
S0001,Bakery,2025-07-14,543.97,136,93,0.0,0.0,0,0,NONE,,471.56,0.1535541606582408,0,133.0,344.0,,499.75,3513.6200000000003,6.601310457016692,0.0,0.0,29,0,0
S0001,Bakery,2025-07-21,439.75,110,90,0.0,0.0,0,0,NONE,,495.6966666666667,-0.11286472237726038,0,136.0,129.0,,543.97,495.6966666666667,3.838223696704373,0.0,0.0,30,0,0
S0001,Bakery,2025-07-28,402.8,99,83,0.0,0.0,0,0,NONE,,481.71000000000004,-0.16381225218492457,0,110.0,124.25,-2.099999999999993,439.75,481.71000000000004,3.878099590710098,0.0,0.0,31,0,0
S0001,Bakery,2025-08-04,491.26,121,95,0.0,0.0,0,0,NONE,,471.5675,0.04175966325075412,0,99.0,119.5,-12.799999999999995,402.8,471.56750000000005,3.955928087542832,0.0,0.0,32,0,0
S0001,Bakery,2025-08-11,432.74,111,95,0.0,0.0,0,0,NONE,,469.445,-0.07818807315020926,0,121.0,116.5,-5.600000000000007,491.26,469.445,4.031548388294712,0.0,0.0,33,0,0
S0001,Bakery,2025-08-18,556.18,144,107,0.0,0.0,0,0,NONE,,441.6375,0.2593586368911154,0,111.0,110.25,2.4999999999999942,432.74,441.6375,4.006243174993175,0.0,0.0,34,0,0
S0001,Baking,2025-06-30,1155.4,306,241,0.0,0.0,0,0,NONE,,,,0,,110.33333333333333,,,442.2666666666667,4.009081809081809,0.0,0.0,27,0,0
S0001,Baking,2025-07-07,1084.4,296,229,0.0,0.0,0,0,NONE,,1155.4,-0.061450579885753844,0,306.0,179.33333333333334,,1155.4,693.1333333333333,3.9114585173408702,0.0,0.0,28,0,0
S0001,Baking,2025-07-14,1169.79,313,238,0.0,0.0,0,0,NONE,,1119.9,0.04454862041253672,0,296.0,237.66666666666666,,1084.4,890.8466666666667,3.779296355178708,0.0,0.0,29,0,0
S0001,Baking,2025-07-21,1278.08,340,262,0.0,0.0,0,0,NONE,,1136.53,0.1245457664997844,0,313.0,305.0,,1169.79,1136.53,3.7255595832630224,0.0,0.0,30,0,0
S0001,Baking,2025-07-28,1163.91,316,239,0.0,0.0,0,0,NONE,,1171.9175,-0.0068328188631025105,0,340.0,313.75,11.899999999999975,1278.08,1171.9175,3.7339343933296196,0.0,0.0,31,0,0
