store_id,sku_id,date,price
1,P00001,2025-07-18,2.83
1,P00002,2025-07-01,2.90
1,P00002,2025-07-10,2.90
1,P00002,2025-07-11,2.90
1,P00002,2025-07-12,2.90
1,P00002,2025-07-13,2.90
1,P00002,2025-07-18,2.90
1,P00002,2025-08-07,2.90
1,P00002,2025-08-09,2.90
1,P00002,2025-08-10,2.90
1,P00002,2025-08-11,2.90
1,P00004,2025-07-01,11.32
1,P00004,2025-07-08,11.32
1,P00004,2025-07-10,11.32
1,P00004,2025-07-11,11.32
1,P00004,2025-07-13,11.32
1,P00004,2025-07-16,11.32
1,P00004,2025-07-18,11.32
1,P00004,2025-07-19,11.32
1,P00004,2025-07-21,11.32
1,P00004,2025-07-24,11.32
1,P00004,2025-07-31,11.32
1,P00004,2025-08-01,11.32
1,P00004,2025-08-02,11.32
1,P00004,2025-08-03,11.32
1,P00004,2025-08-09,11.32
1,P00004,2025-08-14,11.32
1,P00004,2025-08-16,11.32
1,P00004,2025-08-18,11.32
1,P00004,2025-08-19,11.32
1,P00004,2025-08-20,11.32
1,P00004,2025-08-21,11.32
1,P00004,2025-08-22,11.32
1,P00004,2025-08-24,11.32
1,P00005,2025-07-10,4.45
1,P00005,2025-07-19,4.45
1,P00005,2025-07-26,4.45
1,P00005,2025-08-03,4.45
1,P00005,2025-08-07,4.45
1,P00005,2025-08-13,4.45
1,P00006,2025-07-04,7.27
1,P00006,2025-07-09,7.27
1,P00006,2025-07-14,7.27
1,P00006,2025-07-19,7.27
1,P00006,2025-07-30,7.27
1,P00006,2025-08-01,7.27
1,P00006,2025-08-02,7.27
1,P00007,2025-07-13,3.11
1,P00007,2025-07-21,3.11
1,P00008,2025-07-03,5.15
1,P00008,2025-07-04,5.15
1,P00008,2025-07-11,5.15
1,P00008,2025-07-14,5.15
1,P00008,2025-07-30,5.15
1,P00008,2025-08-07,5.15
1,P00008,2025-08-08,5.15
1,P00008,2025-08-21,5.15
1,P00008,2025-08-24,5.15
1,P00009,2025-07-09,2.66
1,P00009,2025-07-15,2.66
1,P00009,2025-07-20,2.66
1,P00009,2025-08-09,2.66
1,P00009,2025-08-13,2.66
1,P00009,2025-08-17,2.66
1,P00009,2025-08-20,2.66
1,P00009,2025-08-22,2.66
1,P00010,2025-07-12,4.96
1,P00010,2025-07-17,4.96
1,P00010,2025-07-20,4.96
1,P00010,2025-07-25,4.96
1,P00010,2025-08-01,4.96
1,P00010,2025-08-06,4.96
1,P00011,2025-07-09,2.72
1,P00011,2025-07-24,2.72
1,P00011,2025-08-02,2.57
1,P00011,2025-08-04,2.72
1,P00011,2025-08-07,2.72
1,P00011,2025-08-20,2.72
1,P00012,2025-07-10,7.03
1,P00012,2025-07-14,7.03
1,P00012,2025-07-18,7.03
1,P00012,2025-07-22,7.03
1,P00012,2025-07-24,7.03
1,P00012,2025-08-07,7.03
1,P00012,2025-08-08,7.03
1,P00012,2025-08-10,7.03
1,P00012,2025-08-17,7.03
1,P00012,2025-08-20,7.03
1,P00013,2025-07-06,8.66
1,P00013,2025-07-14,8.66
1,P00013,2025-07-19,8.66
1,P00013,2025-08-07,8.66
1,P00013,2025-08-10,8.66
1,P00014,2025-07-09,5.67
1,P00014,2025-07-16,5.67
1,P00014,2025-07-19,5.67
1,P00014,2025-07-24,5.67
1,P00014,2025-08-03,5.67
1,P00014,2025-08-16,5.67
1,P00014,2025-08-19,5.67
1,P00015,2025-07-22,6.11
1,P00015,2025-08-01,6.11
1,P00015,2025-08-17,6.11
1,P00015,2025-08-21,6.11
1,P00016,2025-07-09,9.25
1,P00016,2025-07-11,9.25
1,P00016,2025-07-29,9.25
1,P00016,2025-08-09,9.25
1,P00016,2025-08-10,9.25
1,P00016,2025-08-11,9.25
1,P00016,2025-08-24,9.25
1,P00017,2025-07-14,6.88
1,P00017,2025-07-16,6.88
1,P00017,2025-07-31,6.88
1,P00017,2025-08-02,6.88
1,P00017,2025-08-08,6.88
1,P00017,2025-08-10,6.88
1,P00017,2025-08-18,6.88
1,P00017,2025-08-20,6.88
1,P00017,2025-08-24,6.88
1,P00018,2025-07-01,2.79
1,P00018,2025-07-09,2.79
1,P00018,2025-07-10,2.79
1,P00018,2025-07-11,2.79
1,P00018,2025-07-13,2.79
1,P00018,2025-07-21,2.79
1,P00018,2025-07-22,2.79
1,P00018,2025-07-25,2.79
1,P00018,2025-07-26,2.79
1,P00018,2025-07-27,2.79
1,P00018,2025-07-29,2.79
1,P00018,2025-07-30,2.79
1,P00018,2025-08-03,2.79
1,P00018,2025-08-06,2.79
1,P00018,2025-08-07,2.79
1,P00018,2025-08-08,2.79
1,P00018,2025-08-09,2.79
1,P00018,2025-08-11,2.79
1,P00018,2025-08-15,2.79
1,P00018,2025-08-18,2.79
1,P00018,2025-08-19,2.79
1,P00018,2025-08-21,2.79
1,P00018,2025-08-22,2.79
1,P00018,2025-08-24,2.79
1,P00019,2025-07-03,3.49
1,P00019,2025-07-12,3.49
1,P00019,2025-07-20,3.49
1,P00019,2025-07-25,3.49
1,P00019,2025-08-08,3.49
1,P00019,2025-08-12,3.49
1,P00019,2025-08-17,3.49
1,P00019,2025-08-18,3.49
1,P00019,2025-08-19,3.49
1,P00019,2025-08-21,3.49
1,P00020,2025-07-06,1.92
1,P00020,2025-07-10,1.92
1,P00020,2025-07-12,1.92
1,P00020,2025-07-16,1.92
1,P00020,2025-07-27,1.92
1,P00020,2025-08-01,1.92
1,P00020,2025-08-11,1.92
1,P00020,2025-08-20,1.92
1,P00021,2025-07-12,11.05
1,P00021,2025-07-26,11.05
1,P00021,2025-08-04,11.05
1,P00021,2025-08-20,11.05
1,P00022,2025-07-02,4.42
1,P00022,2025-07-21,4.42
1,P00022,2025-07-23,4.42
1,P00022,2025-07-25,4.42
1,P00022,2025-07-27,4.42
1,P00023,2025-07-01,2.51
1,P00023,2025-07-02,2.51
1,P00023,2025-07-04,2.51
1,P00023,2025-07-05,2.38
1,P00023,2025-07-06,2.51
1,P00023,2025-07-07,2.51
1,P00023,2025-07-10,2.51
1,P00023,2025-07-11,2.51
1,P00023,2025-07-12,2.51
1,P00023,2025-07-13,2.51
1,P00023,2025-07-14,2.51
1,P00023,2025-07-15,2.51
1,P00023,2025-07-16,2.51
1,P00023,2025-07-18,2.51
1,P00023,2025-07-19,2.51
1,P00023,2025-07-20,2.51
1,P00023,2025-07-22,2.51
1,P00023,2025-07-23,2.51
1,P00023,2025-07-24,2.51
1,P00023,2025-07-25,2.51
1,P00023,2025-07-26,2.51
1,P00023,2025-07-27,2.51
1,P00023,2025-07-28,2.51
1,P00023,2025-07-29,2.51
1,P00023,2025-07-30,2.51
1,P00023,2025-07-31,2.51
1,P00023,2025-08-01,2.51
1,P00023,2025-08-02,2.51
1,P00023,2025-08-03,2.22
1,P00023,2025-08-04,2.51
1,P00023,2025-08-05,2.51
1,P00023,2025-08-06,2.51
1,P00023,2025-08-07,2.51
1,P00023,2025-08-08,2.51
1,P00023,2025-08-09,2.51
1,P00023,2025-08-10,2.51
1,P00023,2025-08-11,2.51
1,P00023,2025-08-12,2.51
1,P00023,2025-08-13,2.51
1,P00023,2025-08-14,2.51
1,P00023,2025-08-15,2.51
1,P00023,2025-08-16,2.51
1,P00023,2025-08-17,2.51
1,P00023,2025-08-18,2.51
1,P00023,2025-08-20,2.51
1,P00023,2025-08-21,2.51
1,P00023,2025-08-22,2.51
